Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
200,Mehmet-Can Aydin,GER,DF,Schalke 04,Bundesliga,18,2002,6,500,83,16.3,5.6,6,83,4,0,0,2,1.0,5,10,-5,-0.9,1.07,5.3,8.8,-3.6,-0.64,0.68,Matches
201,Gaizka Ayesa,ESP,GK,Real Sociedad,La Liga,19,2001,0,0,0,0.0,0.0,0,0,0,0,0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
202,Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,28,1991,33,2096,64,61.3,23.3,23,84,12,10,17,3,1.09,21,42,-21,-0.9,-0.63,15.4,36.5,-21.1,-0.91,-0.63,Matches
203,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,25,1994,19,796,42,23.3,8.8,7,82,5,12,19,14,2.05,13,7,6,0.68,0.61,13.0,12.9,0.1,0.01,-0.13,Matches
204,Luke Ayling,ENG,DF,Leeds United,Premier League,28,1991,38,3399,89,99.4,37.8,38,89,37,0,0,0,1.55,62,54,8,0.21,0.21,56.5,62.6,-6.1,-0.16,-3.04,Matches
205,Miguel Azeez,ENG,MF,Arsenal,Premier League,17,2002,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
206,Ramon Azeez,NGA,"MF,DF",Granada,La Liga,27,1992,2,101,51,3.0,1.1,1,90,1,1,11,9,1.5,1,6,-5,-4.46,-4.1,0.9,3.2,-2.2,-2.0,-1.67,Matches
207,César Azpilicueta,ESP,DF,Chelsea,Premier League,30,1989,26,2188,84,64.0,24.3,24,89,20,2,26,12,1.92,39,20,19,0.78,0.56,40.7,18.7,22.0,0.91,0.24,Matches
208,Ousmane Ba,SEN,GK,Metz,Ligue 1,18,2002,0,0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
209,Ludovic Baal,GUF,DF,Brest,Ligue 1,34,1986,7,296,42,8.7,3.3,3,81,1,4,13,31,0.57,5,9,-4,-1.22,-0.87,4.9,8.1,-3.2,-0.97,-0.82,Matches
210,Carlos Bacca,COL,FW,Villarreal,La Liga,33,1986,23,786,34,23.0,8.7,9,62,0,14,17,9,1.7,18,8,10,1.15,0.94,15.9,10.8,5.0,0.58,0.26,Matches
211,Loïc Bade,FRA,DF,Lens,Ligue 1,20,2000,31,2610,84,76.3,29.0,29,89,27,2,10,0,1.42,39,44,-5,-0.17,-0.84,40.8,37.7,3.1,0.11,-0.49,Matches
212,Milan Badelj,CRO,MF,Genoa,Serie A,31,1989,30,2408,80,70.4,26.8,29,83,21,1,10,5,1.2,35,35,0,0.0,0.98,28.6,33.0,-4.3,-0.16,0.95,Matches
213,Édgar Badía,ESP,GK,Elche,La Liga,28,1992,30,2700,90,78.9,30.0,30,90,30,0,0,8,0.87,27,46,-19,-0.63,-0.38,22.7,49.4,-26.7,-0.89,-0.72,Matches
214,Alex Baena,ESP,MF,Villarreal,La Liga,19,2001,6,137,23,4.0,1.5,2,53,0,4,8,32,1.67,0,2,-2,-1.31,-1.81,0.9,0.9,0.0,0.01,-0.38,Matches
215,Miguel Baeza,ESP,"MF,FW",Celta Vigo,La Liga,20,2000,22,543,25,15.9,6.0,4,53,0,18,18,16,1.36,6,13,-7,-1.16,-1.32,7.9,8.3,-0.3,-0.06,-0.01,Matches
216,Stéphane Bahoken,CMR,FW,Angers,Ligue 1,28,1992,30,1616,54,47.3,18.0,18,71,1,12,28,0,1.07,18,28,-10,-0.56,-0.16,18.6,24.3,-5.6,-0.31,-0.14,Matches
217,Leon Bailey,JAM,"FW,MF",Leverkusen,Bundesliga,22,1997,30,2141,71,70.0,23.8,25,82,15,5,20,0,1.57,42,27,15,0.63,0.73,34.0,30.5,3.4,0.14,-0.19,Matches
218,Eric Bailly,CIV,DF,Manchester Utd,Premier League,26,1994,12,916,76,26.8,10.2,10,90,9,2,11,14,1.92,16,17,-1,-0.1,-1.18,14.7,14.2,0.4,0.04,-0.59,Matches
219,Dénys Bain,FRA,DF,Brest,Ligue 1,27,1993,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
220,Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,18,2001,1,90,90,2.6,1.0,1,90,1,0,0,29,0.0,0,4,-4,-4.0,-3.78,0.5,2.4,-1.9,-1.86,-1.91,Matches
221,Abdoulaye Bakayoko,FRA,DF,Saint-Étienne,Ligue 1,17,2002,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
222,Tiemoué Bakayoko,FRA,MF,Napoli,Serie A,25,1994,32,1964,61,57.4,21.8,23,81,8,9,12,3,1.94,51,29,22,1.01,-0.41,40.5,26.2,14.3,0.66,-0.07,Matches
223,Mitchel Bakker,NED,DF,Paris S-G,Ligue 1,20,2000,26,1694,65,49.5,18.8,18,84,13,8,22,12,2.31,49,10,39,2.07,1.08,47.5,19.8,27.7,1.47,0.56,Matches
224,Ridle Baku,GER,"FW,DF",Wolfsburg,Bundesliga,22,1998,32,2678,84,87.5,29.8,31,86,19,1,19,0,1.84,58,36,22,0.74,0.27,44.7,37.5,7.3,0.24,0.21,Matches
225,Ridle Baku,GER,DF,Mainz 05,Bundesliga,22,1998,2,180,90,5.9,2.0,2,90,2,0,0,0,0.0,2,7,-5,-2.5,-2.12,2.3,5.5,-3.2,-1.59,-1.57,Matches
226,Dilane Bakwa,FRA,"FW,MF",Bordeaux,Ligue 1,17,2002,7,56,8,1.6,0.6,0,0,0,7,8,10,1.43,2,2,0,0.0,0.37,1.3,0.7,0.6,0.92,1.33,Matches
