Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
95,Joachim Andersen,DEN,DF,Lyon,Ligue 1,24,1996,2.1,0,5,0,0.0,2.34,0.0,0.0,0.0,20.0,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
96,Joachim Andersen,DEN,DF,Fulham,Premier League,24,1996,30.3,1,13,3,23.1,0.43,0.1,0.08,0.33,15.4,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
97,Djavan Anderson,NED,DF,Lazio,Serie A,25,1995,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
98,Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,17,2002,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
99,Felipe Anderson,BRA,"FW,MF",West Ham,Premier League,27,1993,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
100,Sebastian Andersson,SWE,FW,Köln,Bundesliga,29,1991,12.5,3,39,14,35.9,3.12,1.12,0.05,0.14,12.4,0,1,1,5.5,4.7,0.12,-2.5,-2.7,Matches
101,Nícolas Andrade,BRA,GK,Udinese,Serie A,32,1988,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
102,Benjamin André,FRA,MF,Lille,Ligue 1,29,1990,32.1,0,20,7,35.0,0.62,0.22,0.0,0.0,13.8,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
103,Robert Andrich,GER,MF,Union Berlin,Bundesliga,25,1994,28.1,5,40,9,22.5,1.43,0.32,0.13,0.56,22.2,4,0,0,2.5,2.5,0.06,2.5,2.5,Matches
104,Victorien Angban,CIV,MF,Metz,Ligue 1,23,1996,18.6,0,6,1,16.7,0.32,0.05,0.0,0.0,21.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
105,Ángel,ESP,GK,Granada,La Liga,18,2002,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
106,Miguel Ángel Rubio,ESP,DF,Valladolid,La Liga,22,1998,1.5,0,1,0,0.0,0.67,0.0,0.0,0.0,8.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
107,José Ángel,ESP,DF,Eibar,La Liga,30,1989,10.0,0,2,0,0.0,0.2,0.0,0.0,0.0,27.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
108,Angeliño,ESP,"DF,FW",RB Leipzig,Bundesliga,23,1997,24.0,4,35,13,37.1,1.46,0.54,0.11,0.31,15.8,4,0,0,3.8,3.8,0.11,0.2,0.2,Matches
109,Davide Angelo Ghislandi,ITA,DF,Atalanta,Serie A,19,2001,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
110,Philip Ankhrah,GHA,MF,Hellas Verona,Serie A,17,2002,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
111,Cristian Ansaldi,ARG,DF,Torino,Serie A,33,1986,21.6,1,16,6,37.5,0.74,0.28,0.0,0.0,23.9,2,1,1,1.7,0.9,0.06,-0.7,-0.9,Matches
112,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,24,1996,30.1,0,11,4,36.4,0.37,0.13,0.0,0.0,14.6,0,0,0,1.2,1.2,0.1,-1.2,-1.2,Matches
113,José Antonio Miranda,EQG,"MF,DF",Getafe,La Liga,22,1998,0.3,0,2,0,0.0,6.92,0.0,0.0,0.0,7.6,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
