Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2201,Oriol Rey,ESP,MF,Valladolid,La Liga,22,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches
2202,Gio Reyna,USA,"FW,MF",Dortmund,Bundesliga,17,2002,22.0,1,0,0,28,48,4,33,15,23,1,0,0,131,23,49,31.9,Matches
2203,Baptiste Reynet,FRA,GK,Nîmes,Ligue 1,29,1990,38.0,3,0,0,1,8,0,0,0,0,0,1,0,210,1,0,100.0,Matches
2204,Bryan Reynolds,USA,DF,Roma,Serie A,19,2001,3.1,0,0,0,5,3,0,5,5,3,0,0,0,13,3,4,42.9,Matches
2205,Franck Ribéry,FRA,FW,Fiorentina,Serie A,37,1983,23.9,6,1,0,37,73,7,25,8,20,1,0,0,144,5,29,14.7,Matches
2206,Ricard,ESP,DF,Atlético Madrid,La Liga,20,2000,0.3,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0.0,Matches
2207,Federico Ricci,ITA,FW,Sassuolo,Serie A,26,1994,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
2208,Giacomo Ricci,ITA,DF,Parma,Serie A,23,1996,0.7,0,0,0,0,0,0,1,1,1,0,0,0,4,1,2,33.3,Matches
2209,Matteo Ricci,ITA,MF,Spezia,Serie A,26,1994,24.8,5,0,0,28,29,0,10,30,32,0,0,0,274,21,16,56.8,Matches
2210,Declan Rice,ENG,MF,West Ham,Premier League,21,1999,32.0,2,0,0,22,14,1,29,68,53,0,1,0,315,47,29,61.8,Matches
2211,Chris Richards,USA,DF,Hoffenheim,Bundesliga,20,2000,10.5,1,0,0,6,5,0,0,13,13,0,0,0,113,25,23,52.1,Matches
2212,Chris Richards,USA,DF,Bayern Munich,Bundesliga,20,2000,1.0,0,0,0,0,0,0,4,0,1,0,0,0,4,2,3,40.0,Matches
2213,Lewis Richardson,ENG,"FW,MF",Burnley,Premier League,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
2214,Richarlison,BRA,FW,Everton,Premier League,23,1997,31.8,4,1,0,34,73,25,23,20,30,1,0,0,186,42,81,34.1,Matches
2215,Marco Richter,GER,"FW,MF",Augsburg,Bundesliga,22,1997,15.7,4,1,1,20,36,7,37,9,9,0,0,0,131,16,37,30.2,Matches
2216,Mikel Rico,ESP,MF,Huesca,La Liga,35,1984,24.3,2,0,0,19,21,3,26,20,15,0,0,0,205,14,28,33.3,Matches
2217,Sergio Rico,ESP,GK,Paris S-G,Ligue 1,26,1993,9.0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0.0,Matches
